,country,Area
25929,Finland,303940.0
25930,Finland,303940.0
25931,Finland,303940.0
25932,Finland,303940.0
25933,Finland,303940.0
25934,Finland,303940.0
25935,Finland,303940.0
25936,Finland,303940.0
25937,Finland,303940.0
25938,Finland,303940.0
25939,Finland,303940.0
25940,Finland,303940.0
25941,Finland,303940.0
25942,Finland,303940.0
25943,Finland,303940.0
25944,Finland,303940.0
25945,Finland,303940.0
25946,Finland,303940.0
25947,Finland,303940.0
25948,Finland,303940.0
25949,Finland,303940.0
25950,Finland,303940.0
25951,Finland,303940.0
25952,Finland,303940.0
25953,Finland,303940.0
25954,Finland,303940.0
25955,Finland,303940.0
25956,Finland,303940.0
25957,Finland,303940.0
25958,Finland,303940.0
25959,Finland,303940.0
25960,Finland,303940.0
25961,Finland,303940.0
25962,Finland,303940.0
25963,Finland,303940.0
25964,Finland,303940.0
25965,Finland,303940.0
25966,Finland,303940.0
25967,Finland,303940.0
25968,Finland,303940.0
25969,Finland,303940.0
25970,Finland,303940.0
25971,Finland,303940.0
25972,Finland,303940.0
25973,Finland,303940.0
25974,Sri Lanka,61860.0
25975,Sri Lanka,61860.0
25976,Sri Lanka,61860.0
25977,Sri Lanka,61860.0
25978,Sri Lanka,61860.0
25979,Sri Lanka,61860.0
25980,Sri Lanka,61860.0
25981,Sri Lanka,61860.0
25982,Sri Lanka,61860.0
25983,Sri Lanka,61860.0
25984,Sri Lanka,61860.0
25985,Sri Lanka,61860.0
25986,Sri Lanka,61860.0
25987,Sri Lanka,61860.0
25988,Sri Lanka,61860.0
25989,Sri Lanka,61860.0
25990,Chile,743532.0
25991,Chile,743532.0
25992,Chile,743532.0
25993,Chile,743532.0
25994,Chile,743532.0
25995,Chile,743532.0
25996,Chile,743532.0
25997,Chile,743532.0
25998,Chile,743532.0
25999,Chile,743532.0
26000,Chile,743532.0
26001,Chile,743532.0
26002,Chile,743532.0
26003,Chile,743532.0
26004,Chile,743532.0
26005,Chile,743532.0
26006,Chile,743532.0
26007,Chile,743532.0
26008,Chile,743532.0
26009,Chile,743532.0
26010,Chile,743532.0
26011,Chile,743532.0
26012,Chile,743532.0
26013,Chile,743532.0
26014,Chile,743532.0
26015,Chile,743532.0
26016,Chile,743532.0
26017,Chile,743532.0
26018,Chile,743532.0
26019,Chile,743532.0
26020,Chile,743532.0
26021,Chile,743532.0
26022,Chile,743532.0
26023,Chile,743532.0
26024,Chile,743532.0
26025,Chile,743532.0
26026,Chile,743532.0
26027,Chile,743532.0
26028,Chile,743532.0
26029,Chile,743532.0
26030,Chile,743532.0
26031,Chile,743532.0
26032,Chile,743532.0
26033,Chile,743532.0
26034,Chile,743532.0
26035,Chile,743532.0
26036,Chile,743532.0
26037,Chile,743532.0
26038,Chile,743532.0
26039,Chile,743532.0
26040,Chile,743532.0
26041,Chile,743532.0
26042,Chile,743532.0
26043,Chile,743532.0
26044,Chile,743532.0
26045,Chile,743532.0
26046,Chile,743532.0
26047,Chile,743532.0
26048,Chile,743532.0
26049,Chile,743532.0
26050,Chile,743532.0
26051,Chile,743532.0
26052,Chile,743532.0
26053,Chile,743532.0
26054,Chile,743532.0
26055,Chile,743532.0
26056,Chile,743532.0
26057,Chile,743532.0
26058,Chile,743532.0
26059,Chile,743532.0
26060,Chile,743532.0
26061,Chile,743532.0
26062,Chile,743532.0
26063,Chile,743532.0
26064,Chile,743532.0
26065,Chile,743532.0
26066,Chile,743532.0
26067,Chile,743532.0
26068,Chile,743532.0
26069,Chile,743532.0
26070,Chile,743532.0
26071,Chile,743532.0
26072,Chile,743532.0
26073,Chile,743532.0
26074,Chile,743532.0
26075,Chile,743532.0
26076,Chile,743532.0
26077,Chile,743532.0
26078,Chile,743532.0
26079,Chile,743532.0
26080,Chile,743532.0
26081,Chile,743532.0
26082,Chile,743532.0
26083,Chile,743532.0
26084,Chile,743532.0
26085,Chile,743532.0
26086,Chile,743532.0
26087,Chile,743532.0
26088,Chile,743532.0
26089,Chile,743532.0
26090,Chile,743532.0
26091,Chile,743532.0
26092,Chile,743532.0
26093,Chile,743532.0
26094,Chile,743532.0
26095,Chile,743532.0
26096,Chile,743532.0
26097,Chile,743532.0
26098,Chile,743532.0
26099,Chile,743532.0
26100,Chile,743532.0
26101,Chile,743532.0
26102,Chile,743532.0
26103,Chile,743532.0
26104,Chile,743532.0
26105,Chile,743532.0
26106,Chile,743532.0
26107,Chile,743532.0
26108,Chile,743532.0
26109,Chile,743532.0
26110,Chile,743532.0
26111,Chile,743532.0
26112,Chile,743532.0
26113,Chile,743532.0
26114,Chile,743532.0
26115,Chile,743532.0
26116,Chile,743532.0
26117,Chile,743532.0
26118,Chile,743532.0
26119,Chile,743532.0
26120,Chile,743532.0
26121,Chile,743532.0
26122,Chile,743532.0
26123,Chile,743532.0
26124,Chile,743532.0
26125,Chile,743532.0
26126,Chile,743532.0
26127,Chile,743532.0
26128,Chile,743532.0
26129,Chile,743532.0
26130,Chile,743532.0
26131,Chile,743532.0
26132,Chile,743532.0
26133,Chile,743532.0
26134,Chile,743532.0
26135,Chile,743532.0
26136,Chile,743532.0
26137,Chile,743532.0
26138,Chile,743532.0
26139,Chile,743532.0
26140,Chile,743532.0
26141,Chile,743532.0
26142,Chile,743532.0
26143,Chile,743532.0
26144,Chile,743532.0
26145,Chile,743532.0
26146,Chile,743532.0
26147,Chile,743532.0
26148,Chile,743532.0
26149,Chile,743532.0
26150,Chile,743532.0
26151,Chile,743532.0
26152,Chile,743532.0
26153,Chile,743532.0
26154,Chile,743532.0
26155,Chile,743532.0
26156,Chile,743532.0
26157,Chile,743532.0
