"6.3a World Production of Mineral Raw Materials, by Development Status of Producer Countries (details see Chapter 4.1); column A Development Status of Producer Countries: Developed Countries, Developing Countries, Least Developed Countries, Transition Countries, column B physical unit, column C to G years.",,,,,,
Development status,unit,2016,2017,2018,2019,2020
Developed Countries ,kg,753,700,850,930,830
Developing Countries ,kg,20559,19948,19942,20769,18340
Least Developed Countries ,kg,0,0,0,0,0
Transition Countries ,kg,2644,2426,2146,2115,1800
Total,kg,23956,23074,22938,23814,20970
